"plugin","extension point","is aggregated contract","partNo","verification result ","?@class java#implements org.eclipse.ui.IViewPart ","must exist: ?@fastViewVidthRatio ","?@fastViewVidthRatio.null net.java.treaty.Operator$GTE@b598500.05 ","?@fastViewVidthRatio.null net.java.treaty.Operator$LTE@22e3f20.95 ","?../stickyView/@location.null net.java.treaty.Operator$IN@a32803right","left","top","bottom ","must exist: ?../category/@name  ","variable ?@class ","variable ?@fastViewVidthRatio ","variable ?../stickyView/@location ","variable ?../category/@name "
"    org.eclipse.debug.ui","anonymous",TRUE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.debug.internal.ui.views.launch.LaunchView ","? ","? ","%DebugViewsCategory.name            ",,,
"    org.eclipse.debug.ui","anonymous",TRUE,2,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.debug.internal.ui.views.breakpoints.BreakpointsView ","? ","? ","%DebugViewsCategory.name            ",,,
"    org.eclipse.debug.ui","anonymous",TRUE,3,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.debug.internal.ui.views.variables.VariablesView ","? ","? ","%DebugViewsCategory.name            ",,,
"    org.eclipse.debug.ui","anonymous",TRUE,4,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.debug.internal.ui.views.expression.ExpressionView ","? ","? ","%DebugViewsCategory.name            ",,,
"    org.eclipse.debug.ui","anonymous",TRUE,5,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.debug.internal.ui.views.registers.RegistersView ","? ","? ","%DebugViewsCategory.name            ",,,
"    org.eclipse.debug.ui","anonymous",TRUE,6,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.debug.internal.ui.views.modules.ModulesView ","? ","? ","%DebugViewsCategory.name            ",,,
"    org.eclipse.debug.ui","anonymous",TRUE,7,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.debug.internal.ui.views.memory.MemoryView ","? ","? ","%DebugViewsCategory.name            ",,,
"    org.eclipse.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.ui.internal.ViewIntroAdapterPart ","? ","RIGHT ","%Views.Category.Basic            ",,,
"    org.eclipse.ecf.discovery.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.ecf.discovery.ui.views.DiscoveryView ","? ","? ","?            ",,,
"    org.eclipse.ecf.example.collab","org.eclipse.ecf.example.collab.org.eclipse.ecf.example.collab.ui.ClientPreferencePage",FALSE,1,"FAILURE ","class not loaded – not an instantiable java type","FAILURE ","FAILURE ","FAILURE ","FAILURE ","FAILURE  ","org.eclipse.ecf.internal.example.collab.ui.LineChatView ","? ","? ","?            ",,,
