"plugin","extension point","is aggregated contract","partNo","verification result ","must exist: ?@id ","must exist: ?@type ","must exist: ?@namespace ","must exist: ?@properties ","?@class java#implements org.eclipse.core.expressions.PropertyTester  ","variable ?@id ","variable ?@type ","variable ?@namespace ","variable ?@properties ","variable ?@class ",,,,,,,,,,,,,
"    org.eclipse.jst.server.generic.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.jst.server.generic.ui.antPublisherTester ","java.lang.Object ","org.eclipse.jst.server.generic.ui ","isAntPublisher ","org.eclipse.jst.server.generic.ui.internal.AntPublisherPropertyTester            ",,,,,,,,,,,,,
"    org.eclipse.jdt.junit","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.jdt.junit.JUnitPropertyTester ","org.eclipse.core.runtime.IAdaptable ","org.eclipse.jdt.junit ","isTest","canLaunchAsJUnit ","org.eclipse.jdt.internal.junit.JUnitPropertyTester            ",,,,,,,,,,,,
"    org.eclipse.core.expressions","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.core.expressions.bundlePropertyTester ","org.eclipse.core.runtime.Platform ","org.eclipse.core.runtime ","product","isBundleInstalled","bundleState ","org.eclipse.core.internal.expressions.propertytester.PlatformPropertyTester            ",,,,,,,,,,,
"    org.eclipse.dltk.console.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.dltk.console.ui.isDLTKConsolePropertyTester ","org.eclipse.ui.console.IConsole ","org.eclipse.dltk.console ","isDLTKConsole ","org.eclipse.dltk.console.ui.DLTKConsolePropertyTester            ",,,,,,,,,,,,,
"    org.eclipse.wst.common.project.facet.core","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.wst.common.project.facet.core.internal.FacetedProjectPropertyTester ","org.eclipse.core.resources.IResource ","org.eclipse.wst.common.project.facet.core ","projectFacet ","org.eclipse.wst.common.project.facet.core.internal.FacetedProjectPropertyTester            ",,,,,,,,,,,,,
"    org.eclipse.cdt.ui","anonymous",TRUE,1,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.cdt.Tester3 ","java.lang.Object ","org.eclipse.cdt.ui ","pageEnabled ","org.eclipse.cdt.ui.newui.PropertyTester            ",,,,,,,,,,,,,
"    org.eclipse.cdt.ui","anonymous",TRUE,2,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.cdt.Tester1 ","org.eclipse.cdt.core.model.ITranslationUnit ","org.eclipse.cdt.ui ","isSource ","org.eclipse.cdt.ui.newui.PropertyTester            ",,,,,,,,,,,,,
"    org.eclipse.cdt.ui","anonymous",TRUE,3,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ","org.eclipse.cdt.Tester2 ","org.eclipse.core.resources.IFile ","org.eclipse.cdt.ui ","isSource ","org.eclipse.cdt.ui.newui.PropertyTester            ",,,,,,,,,,,,,
"    org.eclipse.birt.report.designer.ui","anonymous",TRUE,1,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ","ProertyHandleTester ","org.eclipse.birt.report.model.api.PropertyHandle ","PropertyHandle ","name ","org.eclipse.birt.report.designer.internal.ui.extension.PropertyHandlePropertyTester            ",,,,,,,,,,,,,
"    org.eclipse.birt.report.designer.ui","anonymous",TRUE,2,"SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS ","SUCCESS  ","ExtendItemHandleTester ","org.eclipse.birt.report.model.api.ExtendedItemHandle ","ExtendItemHandle ","extensionName","containerName","containerPropertyName ","org.eclipse.birt.report.designer.internal.ui.extension.ExtendItemHandlePropertyTester            ",,,,,,,,,,,
