"plugin","extension point","is aggregated contract","partNo","verification result ","must exist: ?@id ","must exist: ?@name ","must exist: ?count/@value ","?count/@value.null net.java.treaty.Operator$REGEX@16244b4(\d)*|\*|\?|\+|\! ","?@class java#implements org.eclipse.ui.IWorkbenchPropertyPage  ","variable ?@id ","variable ?@name ","variable ?count/@value ","variable ?@class "
"    org.eclipse.mylyn.tasks.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.mylyn.tasks.ui.properties.pages.project.repository ","Task Repository ","? ","org.eclipse.mylyn.internal.tasks.ui.properties.ProjectTaskRepositoryPage            "
"    org.tigris.subversion.subclipse.ui","anonymous",TRUE,1,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.tigris.subversion.subclipse.ui.properties.SVNPropertyPage ","%svnPropertyPage.name ","? ","org.tigris.subversion.subclipse.ui.properties.SVNPropertyPage            "
"    org.tigris.subversion.subclipse.ui","anonymous",TRUE,2,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.tigris.subversion.subclipse.ui.properties.SVNRepositoryPropertiesPage ","%SVN ","? ","org.tigris.subversion.subclipse.ui.properties.SVNRepositoryPropertiesPage            "
"    org.eclipse.jpt.ui","anonymous",FALSE,1,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.jpt.ui.jpaProjectPropertiesPage ","%jpaProjectPropertiesPage ","? ","org.eclipse.jpt.ui.internal.properties.JpaProjectPropertiesPage            "
"    org.eclipse.team.cvs.ui","anonymous",TRUE,1,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.team.ccvs.ui.propertyPages.CVSFilePropertiesPage ","%CVS ","? ","org.eclipse.team.internal.ccvs.ui.CVSFilePropertiesPage            "
"    org.eclipse.team.cvs.ui","anonymous",TRUE,2,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.team.ccvs.ui.propertyPages.CVSFolderPropertiesPage ","%CVS ","? ","org.eclipse.team.internal.ccvs.ui.CVSFolderPropertiesPage            "
"    org.eclipse.team.cvs.ui","anonymous",TRUE,3,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.team.ccvs.ui.propertyPages.CVSProjectPropertiesPage ","%CVS ","? ","org.eclipse.team.internal.ccvs.ui.CVSProjectPropertiesPage            "
"    org.eclipse.team.cvs.ui","anonymous",TRUE,4,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.team.ccvs.ui.propertyPages.CVSRepositoryPropertiesPage ","%CVS ","? ","org.eclipse.team.internal.ccvs.ui.repo.CVSRepositoryPropertiesPage            "
"    org.eclipse.team.cvs.ui","anonymous",TRUE,5,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.team.ccvs.ui.propertyPages.RepositoryEncodingPage ","%ServerEncoding ","? ","org.eclipse.team.internal.ccvs.ui.repo.RepositoryEncodingPropertyPage            "
"    org.eclipse.ui.ide","anonymous",TRUE,1,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.ui.propertypages.project.reference ","%PropertyPages.project.reference ","? ","org.eclipse.ui.internal.ide.dialogs.ProjectReferencePage            "
"    org.eclipse.ui.ide","anonymous",TRUE,2,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.ui.propertypages.info.file ","%PropertyPages.info.file ","? ","org.eclipse.ui.internal.ide.dialogs.ResourceInfoPage            "
"    org.eclipse.ui.ide","anonymous",TRUE,3,"SUCCESS ","SUCCESS ","SUCCESS ","FAILURE ","FAILURE ","SUCCESS  ","org.eclipse.ui.ide.markerEntry ","%PropertyPage.Markers ","? ","org.eclipse.ui.internal.views.markers.MarkersPropertyPage            "
